"","modified_excerpt","dref_dimension"
"804","Future WASH interventions will be coordinated and conducted in the early phase of response in order to provide comprehensive understanding of the Water, Sanitation and Hygiene conditions of the affected populations and plan for coverage of the needs of affected communities.","Coordination"
"805","Gap in the implementation of the gender-based violence prevention strategy established in the country.","Operational Capacity"
"806","Gathering relevant information during the event will speed up the process of formulating an effective response, which means creating the means necessary to obtain information quickly and reliably.","Operational Capacity"
"807","Gender and diversity assessments are crucial and need to be conducted even during non-emergency times to determine the diverse traditional practices and roles of men and women as this has a significant impact on equal use and reach of humanitarian assistance.","Operational Capacity"
"808","General, heavy reliance on state provisions in disaster.","Coordination"
"809","Generate early warning system mechanisms in those communities that do not have one","Analysis and Planning"
"810","Generating group spaces for families in a COVID-19 context","Analysis and Planning"
"811","Georgia Red Cross Society Disaster Management department was an overall responsible for the DREF operation in Georgia, affecting the population by floods. DM department was responsible to activate volunteers during the operation and send staff to the affected areas for the assessments. Main challenges during the operation were lack of human resources at HQ level in DM department and lack of capacity at branch level including transportation of volunteers to the site for the conducting of the assessments.","Operational Capacity"
"812","Getting all three parties; patents, students and teachers to the same location on one particular day was difficult","Policy Strategy and Standards"
"813","Ghana Red Cross should create funding reserve and contingency stock for rapid deployment to respond to onset emergency like floods.","Analysis and Planning"
"814","Give training certificates to volunteers once they have completed a training","Operations Support"
"815","Given limited funding, the provision of sanitation facility was highly compromised as such, there were constructed using simple materials despite such not being sufficient for all affected communities especially considering the dignity, access, participation and security for women and girls. Indeed, the cost of materials that were needed to construct proper facilities were much higher than planned; while with the situation improving and necessitating people to return to their homes, did not necessitate construction. In some facilities, there were permanent structures that needed total refurbishment more than new constructions, as these were going to cost more.","Operational Capacity"
"816","Given that the flood events were not declared a national disaster by the government, there was poor coordination at the National Level with the key partner stakeholders such as the Directorate of Disaster Risk Management and UN agencies in the country, resulting in poor resources mobilisations to reach the needy. This subsequently resulted in low media coverage of the events in the communities that could contribute to significant awareness of local and international potential donors. In order for the NRCS to counter these, National Society organised a field visit with some media and local government representatives to familiarise themselves with the ground situation. The visits enabled government representatives to engage with the affected, listen to the plights of the people and coordinate response with the National Society based on limited resources.","Coordination"
"817","Given the high rate of illiteracy, it was sometimes challenging to make certain beneficiaries sign the distribution lists as they are not accustomed to it.","Policy Strategy and Standards"
"818","Given the remote location of beneficiary households, post distribution monitoring was time consuming","Operations Support"
"819","Given the short notice of the unavailability of some officials, the partner meetings were delayed which reduced the 
period of intervention on the ground.","Coordination"
"820","Given the short time available, it was difficult to train the volunteers adequately on Cash Based Intervention (CBI), since they did not have neither prior background on these initiatives nor on basic livelihood approaches.","Operational Capacity"
"821","Given the URCS financial system, it is needed that there is a dedicated finance controller in the response","Operations Support"
"822","Good and fast organization of the evacuations.","Operational Capacity"
"823","Good and timely support from the Shelter Cluster in providing the data and analysis on time although there is delay in shipments.","Coordination"
"824","Good communication and early warning and early action were being provided Between the Branch office and VRCS HQ staffs.","Operational Capacity"
"825","Good cross institutional coordination is essential for timely implementation of interventions, overcoming procurement and logistical challenges which producing a positive impact in a response operation.","Coordination"
"826","Good inter-institutional work and coordination are essential to the success of an intervention, overcoming logistical challenges, producing a positive impact and conducting advocacy actions with other actors involved in a response operation.","Coordination"
"827","Good involvement of the GRC mobile radio to ensure coverage before, during and after the campaign","Operations Support"
"828","Good knowledge of local people and their possibilities","Operational Capacity"
"829","Good local management.","Operational Capacity"
"830","Good motivation and commitment of GRC volunteers;","Operations Support"
"831","Good Potential in volunteer mobilization.","Operations Support"
"832","Good to work closely with the command post at the District level to design together the messages to be communicated","Coordination"
"833","Government mechanisms to import humanitarian aid could not be used because a national emergency was not declared for this event, so the National Society had to carry out the processes directly. This delayed the arrival of the first water filters. In the case of the second batch of filters, IFRC Logistics informed the National Society that their supplier had none available in Panama and that it was necessary to wait until they could be reordered. Delivery was further delayed because many businesses and government agencies were closed for the year-end holidays. Filters finally arrived on 4 January 2019.","Policy Strategy and Standards"
"834","Government restrictions following COVID-19 outbreak also delayed activities and stranded all 3 deployed surge personnel in DRC for several months, leading to an over expenditure of International Staff budget line.","Analysis and Planning"
"835","Government restrictions following COVID-19 outbreak also delayed activities.","Analysis and Planning"
"836","Gradually, day after day, these attitudes started to change, as PSS teams stayed nearby and continued to help people who accepted PSS support. People started to communicate with the Red Cross team, started inviting them to their homes, and even asked them to visit them as often as possible. Three months later, families started planning the future, there is a glimpse of a renewed hope.","Operational Capacity"
"837","GRCS staffs involved in a car accident caused some delays: the four GRCS staffs (DM 2, Health 1, and Driver 1) who were involved in a car accident in Kaiaf in LRR while travelling to CRR to conduct the training on Hygiene promotion and to monitor the community sensitization activities. The team involved was away from work for about 2 weeks which delayed some activity implementation and had to be temporally replaced for the period.","Operations Support"
"838","Greater dialogue and advocacy was required with local authorities and the community to be able to implement epidemiological outbreak prevention measures.","Coordination"
"839","Greater involvement of the necessary NS areas.","Operational Capacity"
"840","Greater synergy between the operative and administrative personnel is required to know the difficulties that have in the field and to adjust the times for the report.","Operational Capacity"
"841","Guideline for operation and coordination among partners should also be agreed upon/shared at the onset of the disaster and community leaders made aware of this to avoid duplication of efforts while serving the affected households better.","Coordination"
"842","Hand washing is a key activity to avoid contamination from cholera as well as several other diseases.","Operational Capacity"
"843","Harmonization of training curriculums and standardize protocols for the key pillars to ensure equal and quality
level of preparedness across key thematic areas of focus. (Health)","Operations Support"
"844","Have adequate human resource support such as PMER/Finance both at the states and national headquarter levels for timely narrative and financial reporting.","Operations Support"
"845","Have an MOU in place before TC season in Vanuatu with essential service providers. This will include transport, both land and sea, accommodations, rental companies, hardware etc.","Analysis and Planning"
"846","Have guidelines on volunteer management.","Operations Support"
"847","Have proper guidelines/standard operating procedures/reporting templates for better implementation of the operation.","Analysis and Planning"
"848","Have updated data on communities that have specific needs (water storage) and establish a distribution strategy considering access and type of roads.","Operations Support"
"849","Having a contingency stock in place would be key to being able to cover the gaps in assistance provision occurring at times of depleting stocks.","Operations Support"
"850","Having a Crisis Modifier will support to cover the needs of other families or needs that are not supported by the DREF","Operational Capacity"
"851","Having a greater number of volunteers to support activities","Operational Capacity"
"852","Having a specific vehicle for medical transfers in the field is essential.","Operations Support"
"853","Having existing community-based volunteers trained on hygiene promotion is critical for disease prevention during emergencies as they could be mobilized right away to do community awareness and improving sanitation in affected communities","Operational Capacity"
"854","Having existing strong working relationships with the Area Council Secretaries and a strong volunteer ERT network assisted significantly in the good coordination of the distribution.","Coordination"
"855","Having mobile first aid teams was good, but it would be better in future to have fixed first aid posts in each refugee site to ensure a better health coverage.","Operational Capacity"
"856","Having NFIs pre-positioned allowed for a more efficient and timely response. VRCS will review its stock holding plan to ensure sufficient stocks are available in all locations","Operations Support"
"857","Having pre-positioned stock in the departments was key to meeting the affected people’s immediate needs; nonetheless, while it would be useful to increase these quantities, the space to do so does not presently exist.","Operational Capacity"
"858","Having pre agreement with ship owners to avoid delay in transportation of NFI’s and personnel to the areas affected.","Analysis and Planning"
"859","Having prepositioned stocks can be useful in ensuring that the NS responds in a timely and relevant manner.","Operations Support"
"860","Having safe water available for hygiene promotion.","Operational Capacity"
"861","Having specific advice on protection and gender issues benefits the target community and volunteers and allows generating spaces for reflection on and care to people whose role in the organization is to carry out care tasks","Policy Strategy and Standards"
"862","Having staff internalize these topics and apply them in day-to-day activities and not regard it as an imposition.","Operations Support"
"863","Having standardized, appropriate personal protective equipment for volunteers responding to an ongoing disaster (like erupting volcanoes) should be a high priority in future responses.","Operations Support"
"864","Having support vehicles from Headquarters improved access to communities. Communities with no access for vehicles were reached by mule, horse or on foot.","Operations Support"
"865","Having to depend on other local actors to plan activities according to the project's schedule.","Coordination"
"866","Having volunteers and staff who have participated in other DREF operations has improved response during activities.","Operational Capacity"
"867","Hazard awareness was very helpful","Analysis and Planning"
"868","Health awareness sessions were not planned earlier and therefore were introduced into the revised DREF plan of action as one of the identified gaps was the low health awareness of the affected communities.","Operational Capacity"
"869","Health care services required more medication to provide more complete assistance. This medicine included specialized medication for chronic illnesses, as well as basic medicine for headaches and intestinal problems.","Operational Capacity"
"870","Health promotion could have been supplemented with more and better materials.","Operational Capacity"
"871","Health spaces are conducive to establishing closer contact with the communities' women. As caregivers, most of the time, they visited the health centre to address other family members' issues. These consults create windows of opportunity to intervene in pursuit of that woman's health. These are spaces that have allowed reflecting on and raising awareness about invisible issues and transmitting information on reproductive and non-reproductive sexual health (contraceptive methods, obstetric controls during pregnancy, etc.).","Policy Strategy and Standards"
"872","Health surveillance SMS messaging for reporting of illness outbreaks could be utilized in future responses to get health surveillance data transmitted more easily and in real-time. This would be to assist in early detection of disease.","Operational Capacity"
"873","Heavy ash fall disrupted the distribution of NFIs to the target beneficiaries.","Analysis and Planning"
"874","Heavy rainfall in the area increased risk for vector borne infection within the communities.","Analysis and Planning"
"875","Heavy rains restricted road access due to unfavourable road conditions.","Analysis and Planning"
"876","Hence, a longer time required to verify the assessments conducted by these community responders to determine the level of damaged caused in the households assessed.","Operational Capacity"
"877","HF Radio at HQ was not working therefore it is hard to transmit and receive information from the field operation team at Pentecost and Maewo islands.","Operations Support"
"878","HF Radio in Torres is a really good practice","Operations Support"
"879","High cost of transportation.","Operations Support"
"880","High level engagement with key elections actors promoted the Red Cross and its work. LNRCS gained immense relevance through the elections and this has increased public confidence in, and the profile of the NS.","Coordination"
"881","High maintenance costs for material resources such as vehicles, electronic devices, clothing, work materials, etc. due to the site's harsh conditions.","Operational Capacity"
"882","High number of collapsing temporal latrines due to unstable ground. (WASH)","Operational Capacity"
"883","High turnover of trained staff and volunteers in affected areas.","Operations Support"
"884","Holding daily review meetings on the response at the Health Department of the City of Conakry (DSVCO) by
stakeholders","Coordination"
"885","Hospitals were damaged as a result of the earthquake, leaving a gap in emergency health provision.","Operational Capacity"
"886","Host islands communities have CDCCCs in place","Coordination"
"887","Human resources deployed at emergency shelters must be trained.","Operations Support"
"888","Hydrometeorological events after the arrival of the inputs, which caused delays in delivery to the victims.","Operational Capacity"
"889","Hygiene kit contents and other WaSH relief items should be informed by previous responses and in consultation with the beneficiaries to ensure needs are being met. Buckets should be provided in hygiene kits for washing of sanitary products as well as separate buckets for household washing of clothes. Additional basins should be included in the Kitchen sets in order for the buckets for hygiene kits not being transferred for kitchen use.","Operational Capacity"
"890","Hygiene Promotion activities received more attention from volunteers than the other activities. (Health)","Operations Support"
"891","Hygiene promotion sessions raised people’s awareness on the role of hygiene in maintaining good health
population. (WASH)","Operational Capacity"
"892","Identification and preparation of location for establishment of LRC transit camp and conduct a need
assessment","Operational Capacity"
"893","Identification and selection of community-based volunteers was a challenge considering the change in their demographic details.","Operations Support"
"894","Identification of a person to locally coordinate the project in Pernambuco. As the branch was not well structured and did not have a physical location as its headquarters.","Operational Capacity"
"895","Identification of local suppliers","Operations Support"
"896","Identification of local technical and administrative capacity is pertinent for or prepositioning of relevant medical items that meet the WHO/IFRC standards f (for high occurrence of such)","Operational Capacity"
"897","Identification of the target population to receive the intervention since the cases were very varied (develop the assessment system).","Operational Capacity"
"898","Identify areas of improvement in the branches that needs to be done in the field of communication in timed of disaster.","Operational Capacity"
"899","Identify exceptional alternatives, to be applied during emergencies only, which allow goods to be purchased in stores that do not have updated tax receipts.","Operations Support"
"900","Identify improved volunteer management mechanisms and strengthen the multi-skilled volunteer base","Operations Support"
"901","Identify reliable communication equipment","Operations Support"
"902","Identify strategic providers","Operations Support"
"903","Identify the best targeting option (household or individual approach) for Cash initiatives depending on the local context","Operational Capacity"
"904","Identify volunteers before any activity, to avoid having fewer numbers at the beginning and during the implementation of activities","Operations Support"
"905","Identifying RDRT was also challenging due to right profile and security concerns","Operational Capacity"
"906","Identifying the best set of activities and workshops to engage all children, parents and teachers were challenging.","Policy Strategy and Standards"
"907","Identifying the stores near communities","Operational Capacity"
"908","IEC materials to be printed before the commencement of community engagement activities.","Operational Capacity"
"909","If ERC had their own stock, it would make access easier and would reduce additional costs and logistics inputs.","Operational Capacity"
"910","If the community were provided with tools to help themselves, they would respond in a responsible and mature way to bring relief to affected members in the community.","Analysis and Planning"
"911","If TRCS continue to use these processes it would be beneficial to have a volunteer specifically assist finance personnel to get signatures and queue at banks in order to allow finance personnel to continue with core activities","Operations Support"
"912","If volunteers are deployed within their own village/area for beneficiary registration, there is a good chance of favoritism towards their family and friends.","Operational Capacity"
"913","IFRC and Niger RC had great delays in setting up this DREF operation due to several reasons: 1) Delays in completing the eContract process for the MoU (which affected also the time taken to transfer the fund to Niger NS)","Operational Capacity"
"914","IFRC could not complete the recruitment of Rapid response staff because of limited time from the approval of the operation to the implementation of the campaign.","Operational Capacity"
"915","IFRC could not complete the recruitment of Rapid response staff because of limited time from the approval of the operation to the implementation of the campaign. The NS could not organize the planned lesson learned workshops because of internal administrative bottlenecks.","Operational Capacity"
"916","IFRC country office deployed the RDRT surge to support national society for effective and timely implementation of DREF operation activities.","Operational Capacity"
"917","IFRC personnel were not able to support LRC response operation in the affected areas. Also, LRC does not have SOPs that direct how coordination, communication, information sharing, conduct of needs assessments and decision making should occur between chapter and HQ. Therefore, it was difficult to receive good information from the field in a structured and consistent manner","Operational Capacity"
"918","IFRC should support the NS in providing trainings on the various recurrent disasters plaguing the country without always waiting for them to occur","Operational Capacity, Analysis and Planning"
"919","IFRC supported the DREF operation with operational and financial management and capacity development of the TRC key focal points that were intensively involved in the operation. In the future operations, the TRC can utilise the same focal points for coordination and management.","Operations Support"
"920","IFRC supported the NS in training two staff members in procurement, as per IFRC requirements and procedures, enabling them to run the procurement process.","Operations Support"
"921","IFRC to support the NS to initiate as soon as possible assistance actions for the recovery of the communities.","Operational Capacity"
"922","IFRC took one week to transfer the funds to NS and another one to two weeks was from NS due to delay in management approvals, overall it was four weeks from the date of disaster. In the meanwhile, NS management also did not allow the use of calamity funds until the actual funds are received","Analysis and Planning"
"923","IFRC were unable to identify a suitable candidate to be RDRT for PMER to support FRCS in the early stage of the DREF operation. This meant that PMER RDRT did not arrive in Fiji on the 22nd of July, well after all activities of the operation were completed. This meant that information gathering for final reporting was more difficult as FRCS had returned to business as usual, the operations manager from TC Keni was away on mission in Philippines, and key personal were focussed back on their core activities and no longer engaged in the DREF operation.","Operational Capacity"
"924","Immediately after household registrations were completed, some families moved to other safer areas in the country, while others left the country owing to the fact that a large number of people belonging to Mirpur are earning a living out of Pakistan. For this reason, some additional time was utilized for identifying and registering new beneficiaries, and the registration activity went a little beyond the original planned timeline.","Operational Capacity"
"925","Implement a public health strategy at the National Society, embedding it within the emergency system","Operational Capacity"
"926","Implementation and preparation activities need to be well thought out and not done quickly because of some unintended delays at times","Operational Capacity"
"927","Implementation in the field hampered the activities sometime due to volatile and complex situation. Field monitoring visit for IFRC staff was restricted due to security situation.","Operations Support"
"928","Implementation of the CBS in Gampaha branch was challenging because the volunteers engaged in the dengue programme did not have smart phones to install the Dengue Veta App. SLRCS had several discussions with Dialog to obtain few mobile phones which were not successful as well.","Operations Support"
"929","Implementing activities based on communities' availability, in consensus with community leaders and using the CEA approach.","Policy Strategy and Standards"
"930","Implementing CTPs in changing and uncertain contexts.","Operational Capacity"
"931","Impracticability of the Kabinda – Kalonda road, thus rendering activities difficult to implement","Analysis and Planning"
"932","Improve and enhance monitoring of RFL Services at the migration Centres.","Operational Capacity"
"933","Improve communication channels, through preparation of protocols and procedures. Comprehensive understanding of the concept of the operation at all levels, in order to have a clear vision of the intervention","Operational Capacity"
"934","Improve coordination with all partners involved in the operation before undertaking any activity","Operational Capacity"
"935","Improve external communication mainly with public authorities, for smooth response operations and development interventions to take place.","Coordination"
"936","Improve internal and external communication","Operations Support"
"937","Improve PPE to suit the maritime zone (i.e. reef shoes and backpack for disaster relief).","Operations Support"
"938","Improve relations with the related Governmental services to obtain important information related to our services in the Centre, timely.","Coordination"
"939","Improve SOPs for disaster response roles and responsibilities at each level and for each position at HQ and chapters","Analysis and Planning"
"940","Improve the capacity of GBRC to quickly assess the needs of vulnerable communities","Operational Capacity"
"941","Improve the logistical capacity of National Society","Operational Capacity"
"942","Improve the visibility of the National Society","Operational Capacity"
"943","Improved design of temporal latrines would reduce the risk of collapsing and prolong the life span of latrines. (WASH)","Operational Capacity"
"944","Improved planning, taking into account the types of activities and requesting necessary timeframe extensions in a timely manner to enable smooth implementation.","Operational Capacity"
"945","Improvement of SOPs and training at HQ and chapter level to ensure effective preparedness for response, capacity to respond and conduct needs assessments along with clear and regular information sharing, coordination and support at all levels","Analysis and Planning"
"946","Improvement to finance processes of TRCS required along with further training of the finance personnel. During an emergency response the normal processes are cumbersome requiring a lot of time either finding board member to sign cheques for payments or waiting in queues at the bank for withdrawals.","Operations Support"
"947","In-country RDRT resource presence is pertinent with respect to public health and emergencies experience","Operations Support"
"948","In-depth training in data collection and information management should be conducted for staff and volunteers incorporating all response sectors.","Operations Support"
"949","In a cash-based intervention, it is important to explain clearly to beneficiaries the importance of providing the right phone number and information at registration.","Operational Capacity"
"950","In addition, it might be good for IFRC to conduct a review to understand why DRC RC finds it so difficult to implement operations when they are funded. Such a review might come up with recommendations and solutions.","Operations Support"
"951","In addition, it would be good to provide DRC Red Cross headquarters with a motorized canoe for interventions in areas where access is only possible through the River Congo; and many places in DRC are in that situation.","Operations Support, Analysis and Planning, Operational Capacity"
"952","In addition, logistics challenges such as bad roads and unanticipated transport costs delayed implementation.","Operations Support, Analysis and Planning"
"953","In addition, more orientation was supposed to be given to the health intervention for proper sharing of information with the communities through key messages.","Policy Strategy and Standards"
"954","In addition, the NS had suggested that construction activities be moved to the then planned emergency appeal on floods in the country. Unfortunately, the emergency appeal was not launched.","Operational Capacity"
"955","In addition, timely submission of supporting documentation was a challenge.","Policy Strategy and Standards"
"956","In AJK, cross border firing also caused delays in activity implementation since the targeted area is close to the PakIndia border. However, the local people and authorities are aware and warned of any such activity beforehand. PRCS volunteers and staff also remained in contact with them in order to be aware of the ongoing situation and planned their activities accordingly.","Operational Capacity"
"957","In AJK, cross border firing caused delays in activity implementation as the targeted area is close to Pak-India border. However, the local people and authorities were vigilant and warned of any such activity beforehand. PRCS volunteers and staff also remained in contact with them in order to be aware of the ongoing situation and planned their activities accordingly.","Operational Capacity"
"958","In Amhara region, unexpected heavy rainfall and the prevalence of prolonged rainy season affected project implementation.","Analysis and Planning"
"959","In Bayan-Ulgii where had been most severely damaged, most beneficiaries were Kazakh3 people who speak Kazakh language and when RDRT member was deployed to Bayan-Ulgii, we had to be accompanied by local Red Cross branch officer all the time to translate from Kazakh to Mongolian to English for communicating with the beneficiaries.","Operational Capacity"
"960","In branches which had mobile cinema equipment, conducting sessions was very fast because the volunteers
were familiar with the material and how to conduct the sessions. This was different from the other ones that didn’t
have the tools. There is a need to have tools and skills for emergency response actions. (WASH)","Operational Capacity"
"961","In case of restricted mobility, volunteers should have mechanisms to ensure mobilization at all times in the context of social unrest.","Analysis and Planning"
"962","In case there is no specific item in the country, it is always important to refer to the cluster coordination. For this case. Due to the shortage of Aquatabs in Niger, the WASH cluster advised to use an equivalent which was found in the country named “Global tabs”. However, this came late, because the NS had already ordered from neighbouring countries.","Operations Support"
"963","In Chaco another scenario took place where families who were not selected to receive ARC's hygiene and cleaning kits were surveyed and some were beneficiaries of kits donated by TotalGas.","Operational Capacity"
"964","In four cases the card had an apparent malfunctioning, thus the cash assistance was delivered as cash in envelope. In the case of one beneficiary, the ATM deducted the amount but did not dispense the money. The bank was asked to investigate the incident but ultimately failed to resolve it and said that they needed a note from the issuing bank in order to move forward.","Operational Capacity"
"965","In front of intervention zones with limited connectivity along the border, it is recommended to include VHF radios for use by personnel in the field. This is particular, yet not limited in departments such as Vichada and La Guajira that have difficulties for cell phone communication.","Operations Support"
"966","In future assessments, more emphasis will be placed on making beneficiaries more comfortable and confident
talking to Red Cross volunteers, including providing reassurance that the information provided would be kept and
dealt with in a confidential manner.","Policy Strategy and Standards"
"967","In future DREFs if any, NDRT must support the RDRT as was the case in Polio operations.","Operational Capacity"
"968","In future operation it is essential to support the National Societies on the importance of collecting and disaggregating numbers of people reached by gender.","Operations Support, Policy Strategy and Standards"
"969","In future operations, a faster contracting procedure must be put in place to minimise the time that elapses between
the request for assistance and the transfer of funds. (Note: IFRC has put in place, since 1 October 2017, a more
time-efficient contracting procedure for DREF operations.)","Operational Capacity"
"970","In future operations, if MRCS were to distribute hand sanitizers it is suggested to have an alternative sanitizer such as soap as a back-up stock.","Operational Capacity"
"971","In future, ensuring that procurement of only small size tablets is done to meet the requirement for purifying smaller quantities of water which align with normal container sizes among households.","Operational Capacity"
"972","In future, it would be good if discussions towards DREF allocation are brief.","Analysis and Planning"
"973","In future, more than one FSP should be engaged for cash distribution activities in order to ensure availability of enough retailers and required liquidity","Operational Capacity"
"974","In future, No DREF should be launched for less than three months at least i.e. enough time to enable detailed planning and complete narrative and financial reporting.","Operational Capacity"
"975","In future, there is a need of flexibility for change of interventions based on ground realities and people needs in terms of local context.","Analysis and Planning, Operational Capacity"
"976","In general, the flood response operations were successful in both districts; however, there is need for disaster risk reduction (DRR) projects to be implemented in the area, and community response capacities need to be increased to be prepared for future disasters and emergencies.","Operational Capacity"
"977","In Khanh Hoa Red Cross chapter, which was also the worst affected province, does not have enough staff who have experiences and skills in dealing with large scale response like this. Therefore, VNRC NHQs had to rotate one after the other as surge capacity for the chapter including finance assistance..","Operations Support"
"978","In Maewo, some women were barred from using the rivers to bathe and wash with especially during menstruation, this made things difficult as many camps did not having appropriate bathrooms for women. This resulted in women awaiting till darkness to bathe which could have an impact on their safety. Disposal of sanitary pads was also a challenge due to cultural views and set up of camps.","Policy Strategy and Standards"
"979","In mobilizing the IFRC staff, every effort had to be made to ensure the safety of their stay, accommodation, food and transportation in support of the BRC in relation to the social unrest scenarios.","Operations Support, Operational Capacity"
"980","In most households, men were head of households and in many of these homes, a power balance towards men was observed, while women were responsible for the management of the home. Therefore, it was decided, through community consultations, to distribute the cash grant directly to women.","Operational Capacity"
"981","In October 2018, a workshop was held for Red Cross staff and volunteers to share best practices and lessons learned, to update the National Society contingency plan and to further improve its disaster management capacity","Analysis and Planning"
"982","In order to implement the hygiene promotion campaign more effectively, The National Society will prepare materials ahead of time to distribute to communities quickly.","Operations Support"
"983","In order to mitigate logistical challenges in future, the IRCS will coordinate with local communities, community leaders and local authorities as part of disaster preparedness to look for solutions related to logistics.","Coordination"
"984","In order to respond to this situation, the Argentine Red Cross had to work in coordination with state entities so that the target communities could have access to basic health care, beyond of what was contemplated for the emergency.","Coordination"
"985","In order to share the successes and lessons learned from the operation, the National Society is committed to strive to have a more comprehensive lesson learned meeting in the future by inviting relevant stakeholders and other humanitarian actors, this would provide a good platform for visibility of the TTRCS work related to disaster response supported by DREF.","Operations Support"
"986","In order to speed up with the implementation of DREF operation, as DREF is live saving activities, IFRC need to simplify the procedures for cash delivery to the National Society.","Operational Capacity"
"987","In organizing the date to mobilize the mobile health clinics, there was a challenge in getting the final date of the event due to number of activities ongoing in the area considering the schedule of the volunteer doctors and nurses with their other commitments. To overcome this issue, there was constant communication with the health partners to ensure their availability and commitment and also constant follow up and coordination with the LGU and MHO.","Coordination, Operational Capacity"
"988","In other 4 communities provide with mobile water pumps, the DPRK RCS strongly encouraged the communities to operate all the available pumps with the fuel provided by the Red Cross. At the end of the operation, the newly procured mobile pumps were also deployed to be operated in the target communities.","Operational Capacity"
"989","In parallel, there is also a need to update the list of volunteers, recruit new ones and train all of them continuously, as in case of this emergency, only some 70 per cent of the trained volunteers were ready to respond.","Operations Support"
"990","In Pentecost, the branch officer and the volunteers have not been through any PGI related trainings, hence it was difficult for them to carry out this activity. With regards to reporting, there was insufficient reporting prepared by branch officers, field staffs and volunteers on PGI issues.","Operational Capacity"
"991","In relation to logistics, it was identified that it would be good to have a plan prior to a response operation what items to replenish through local procurement versus international procurement in order to be able to accurately plan and budget accordingly.","Operations Support"
"992","In relation to the relevance of the NFI distributed, the lesson learned was to ensure better and deeper integration of CEA concepts. Finally, some of the distributed NFI may not have been the most relevant to the affected population as NFI items such as kitchen sets are need based and relevant for use by affected households.","Policy Strategy and Standards"
"993","In Santa Fe many people who were not beneficiaries approached the volunteers asking if they would receive hygiene and cleaning kits, to which the volunteers responded with key messages about what ARC does regarding the response.","Operational Capacity"
"994","In some areas the cash grants were distributed later in the response. This accounted for coordination with local governments and other organizations and communicating with the targeted communities. In some cases, the reason was due to the delays in the process and lack of experienced resources at chapter level. In other cases, it was a recommendation by the chapter to wait until the dry food items delivered through the Department of Social Welfare and Development and non-government agencies had stopped and the community were still in need. At that time cash was the most appropriate response to give the community the choice to buy foods, livelihoods support or other priority items. During the focus group discussion with the chapters, they mentioned that for the perspective of beneficiaries, the cash was very timely for their needs since they were able to use it for their food needs due and others used it to buy agricultural inputs to kick-start livelihood activities. One of the recomendations during the lessons’ learned workshop was to improve and speed up the process of cash distribution. Capacity building for staff and volunteers is also recommended.","Coordination, Operational Capacity, Operations Support"
"995","In some communities, the lack of knowledge or socially accepted risk behaviour may increase the risk of forest fires. The challenge was to convince the local community that some behaviours needs to be changed.","Analysis and Planning"
"996","In some provinces, considerable amount of local people does not follow the basic hygiene practice, the affected population were provided with information to follow the appropriate hygiene practice but to ensure more effective changes in the community, MRCS plans to cooperate with Ministry of Health to raise more awareness among the population on proper hygiene practice.","Coordination"
"997","In spite of training ARCS field teams knowledge and experience on standard emergency need assessments and disaster management tool kit were relatively weak affecting their ability to oversee a quality assessment and data collection process.","Operational Capacity"
"998","In such situations, PFA train volunteers paid a vital role in the community","Operations Support"
"999","In terms of beneficiary targeting, majority of village meetings took place in the evening as during the daytime people need to earn for their livings in the field or aquaculture farms which created a lot of pressure on the Red Cross staff and local authorities. As a result, Red Cross staff and volunteers had to carry night duty shifts to ensure the selection criteria and process and strictly followed.","Operational Capacity"
"1000","In terms of procurement processes, there were many delays and suppliers failed to deliver relief items.","Operations Support"
"1001","In terms of volunteer management and development, the TTRCS sees a need to cross-train more volunteers who have both emergency medical and disaster response training as well as strengthen its volunteer officers at the Branches with leadership skills so they can effectively manage their volunteers and support the overall operation.","Operations Support"
"1002","In the area of Cocody, within the context of medical care and case management, certain categories of persons (children aged 0-5) required the intervention of specialists this posed a challenge and required to have paediatricians for general consultation and child psychiatry for the psychological care of children.","Operational Capacity"
"1003","In the area with limited to no access to water, VRCS should share different ways to keep good hygiene practice with minimal resources.","Policy Strategy and Standards"
"1004","In the case of cholera epidemic, it is important to carry out response activities as early as the first case is identified as this enables the community to adopt better hygiene practices in order to limit the spread of the disease.","Operational Capacity"
"1005","In the development of the EPoA, a baseline survey was not envisioned. It was necessary to have the baseline survey to measure the impacts of the interventions. As such, the funds saved from not deploying the two RDRTs were redirected to support the baseline survey as a crucial activity.","Operational Capacity"
"1006","In the DREF budget, there was limited allocation for monitoring missions which were far less than required. This was realized as the operation went on. GRCS will put more consideration on this in the future","Operations Support"
"1007","In the early days of the tragedy, it was hard – both emotionally and physically – to work with people who lost their children, sisters, husbands or mothers. Many people were rejecting Red Cross PSS support (and some people even did so quite aggressively): “We do not need help”, “We can manage ourselves”, “My life has become meaningless” were among often heard responses.","Operational Capacity"
"1008","In the early period of the disaster, health interventions such as first aid services were conducted in affected areas by volunteers, but first aid materials such as FA kits and consumables were not supplied to the volunteers and FA posts in time","Operations Support"
